board_title,board_content,board_tag,board_thumbnail,member_no
간단하게 육회비빔밥을 만들어 보았어요!,마트에서 우둔을 싸게 팔고 있길래 후딱 사서 집에서 간단하게 비빔밥을 만들었네요. 레시피 궁금하시면 작성해볼게요!,#일상,boardThumbnail_1.jpg,5
저만의 식재료를 잘 고르는 노하우!,"신선함: 가능하면 신선한 재료를 선택하세요. 신선하지 않은 재료는 맛이나 질감을 저하시킬 수 있습니다.
      계절성: 계절에 맞는 재료를 선택하는 것이 중요합니다. 계절 재료는 가격이 저렴하고 맛이 최상일 때가 많습니다.
      품질: 품질이 보장된 브랜드의 제품이나 신뢰할 수 있는 공급처에서 구매하는 것이 좋습니다.
      영양성분: 영양이 풍부하고 건강에 이로운 재료를 선택하세요. 예를 들어, 곡물, 채소, 과일 등이 좋은 선택입니다.
      원산지: 가능하면 원산지를 확인하여 식품 안전과 품질을 신뢰할 수 있는 곳에서 구매하세요.
      가격 대비 성능: 비용 대비 품질이 우수한 제품을 선택하는 것이 경제적이고 만족스러운 요리를 만드는 데 도움이 됩니다.
   개인 취향: 개인의 입맛과 요리 스타일에 맞는 재료를 고르는 것도 중요합니다.",#노하우,boardThumbnail_2.jpg,1
더위를 이겨내는 방법이 다들 있으신가요?,밑에 글에 시원한 음식을 만들어 드신다고 하셔서 어떤 음식을 해드시는지 궁금해요! 사진은 저희 강아지에요,#질문,boardThumbnail_4.jpg,5
오늘 저녁 술마시면서 먹은것들이에요,연남동에 있는 백색소음 이라는 조용한 바에서 한잔 했네요!.,#일상,boardThumbnail_5.jpg,1
집에서 까르보나라 해서 먹었습니다.,정통방식으로 조리해보았어요! 크림같은 것은 일체 들어가지 않았어요!,#일상,boardThumbnail_6.jpg,5
요리하고 남은 식재료 처리 방법,저같은 경우에는 일단 종류별로 하나하나 소분해서 락앤락에 담아두었다가 다음날에 볶음밥으로 해서 먹으면 괜찮더라고요.,#노하우,boardThumbnail_7.jpg,1
오늘 우텐더 다녀왔습니다.,"확실히 비싸서 그런지 맛은 엄청 맛있네요, 지금까지 먹은 소고기중에 가장 맛있었어요.",#일상,boardThumbnail_8.jpg,5
저만의 생선 손질 방법,"근 2년동안 생선요리를 주로 많이 해먹어서 그런가 확실히 생선 손질, 보관이 쉬워져서 제 방법을 좀 알려드리려고 합니다. 
   첫번째로 생선 머리를 바로 제거하지 말고 배만 딴 뒤에 내장을 다 긁어내고 머리를 제거하는것이 더 깔끔합니다. 내장 제거를 하지 않고 머리를 제거하려 하면 내장이 흘러나오거나 터질 수도 있어요.
   두번째, 생선은 무조건 냉동고에 보관하는다는 생각은 버리기, 물론 냉장고에 오래 두면 상하는게 생선이지만, 하루정도는 냉장고에 두면 숙성이 되어 맛이 진해져서 좋습니다. 하지만 3일 이상은 보관하면 맛도 변하고 상할 수도 있어요.
   마지막으로, 왠만하면 생선은 밖에서 사먹는게 베스트 ㅋㅋ... 생선 손질도 귀찮고, 어떻게 먹어도 나오는 생선 부산물들 처리하기도 힘들어요. 그냥 밖에서 사드시거나 포장해서 드셔요... ",#노하우,boardThumbnail_9.jpg,5
먹다 남은 캔식품 보관법,"참치캔, 스팸 등 먹다 남긴 캔포장 식품은 전자레인지로 가열해서 보관하면 오래 보존할 수 있어요. 
   캔에 남아있는 음식을 빈 그릇에 옮기고 랩으로 씌운 뒤 가열하기만 하면 됩니다. 
   랩이 증기로 뿌옇게 변할 정도로 가열한 뒤 바로 식혀 랩을 씌운채로 냉장고에 두면 됩니다. 
   랩을 벗겨내면 그만큼 살균효과가 줄기 때문에 주의하세요.",#노하우,boardThumbnail_10.jpg,5
수박의 계절인 여름! 수박고르기 꿀팁,"수박을 고를 때 는 이렇게 모양이 균형있게 발달한 것을 먼저 고르는게 좋아요. 수박의 꼭지는 싱싱한 것이 좋고, 수확한지 오래된 수박은 꼭지가 시들시들하며 말라 서 색이 변해 신선도가 많이 떨어져요. 
    수박의 과피에 윤기가 나며 호피무늬가 선명하게 나타나는 것이 잘익은 수박이에요!.",#꿀팁,boardThumbnail_12.jpg,1
자취생들을 위한 음식 보관법 1편,"냉장고는 선반의 층별로 온도가 다르다는 것을 알고 계셨나요? 냉장고의 냉각기 위치로부터의 거리에 따라 층별로 온도가 조금씩 달라집니다.
   첫 번째로 냉장고 문 쪽은 자주 여닫기에 온도가 자주 바뀌는데요, 그래서 문 쪽에는 금방 먹을 달걀이나 잼, 온도에 큰 영향을 받지 않는 소스를 보관하기에 좋습니다.
   냉장고 제일 위 칸에는 냉장고 안에 잘 보이지만 꺼내기는 쉽지 않기 때문에 2~3일 내로 금방 먹는 식재료를 넣는 것이 좋으며, 두 번째, 세 번째 칸은 제일 사용하기 편한 칸이므로 자주 먹는 반찬을 넣는 것이 좋습니다.
   냉장고 제일 아래 신선칸에는 보통 과일이나 채소를 넣는데요, 식품의 산화를 최소화하기 위해서는 밀폐된 상태로 보관하는 것이 좋습니다.",#보관법,boardThumbnail_13.jpg,1
자취생들을 위한 음식 보관법 2편,"용기에 소비기한 표시하기! 청결한 냉장고를 위해서는 가장 먼저 냉장고 속 음식물을 관리하는 습관이 중요합니다. 
   냉장고 속 음식물을 관리하지 않으면 식중독 위험이 커지기 때문인데요. 음식물 용기에 네임택을 붙여 미리 소비기한을 표시해 두세요! 이렇게 되면 음식물마다의 소비기한을 한눈에 볼 수 있답니다. 
   자칫 소비기한이 지난 음식물을 바로바로 폐기할 수 있죠. 지금 바로 냉장고 속 음식물에 모두 소비기한을 표기하고 소비기한이 긴 것은 안쪽에, 소비기한이 짧은 것은 잘 보이는 바깥 쪽에 두어 정리해보세요! 냉장고 관리가 훨씬 쉬워질 거랍니다.
   우리 고랭의 나의 냉장고 기능을 이용해보는 것도 좋은 방법이에요!",#보관법,boardThumbnail_14.jpg,1
6월 중순인데도 날씨가 너무 덥네요,더위먹지 않기 위해 시원한 음식들 많이 만들어서 먹어야겠어요.,#일상,boardThumbnail_3.jpg,1
1인 자취용 냉장고 추천해주실 수 있을까요?,"이번에 새로 입주하게 된 집의 옵션 냉장고가 냉장, 냉동기능이 많이 구려서... 집주인한테 이야기도 해보았는데 문제 없다고 해서 그냥 하나 사려고요ㅠㅠ 싼 모델 추천좀 부탁드릴게요.",#질문,boardThumbnail_11.jpg,1
저만의 자취요리 꿀팁이라고 해야하나?,"혼자 자취하면서 밥 만들어 먹거나 챙겨먹는걸 습관이 된 요즘, 이것저것 만들어 먹으면서 알게된 것 중 가장 중요한건 음식물 쓰레기가 많이 나오지 않게 하는거가 중요하더라고요.
   비위가 좋지 않아서 음식물 쓰레기 버리러가는거도 힘들어하는 저는 그냥 근본적인 음식물 쓰레기를 최대한 나오지 않게 노력했어요. 적당히 먹을만한 양으로만 만들고, 최대한 쓰레기가 나오지 않는 음식을 하려고 노력하면 확실히 일주일에 한봉지도 나오지 않더라고요!",#꿀팁,boardThumbnail_15.jpg,1
이번 여름은 너무 더울 것 같아요.,"<p>6월만 해도 이렇게 더운데,</p><p>한여름인 8월달은 얼마나 더울지 상상해보면 정말 끔찍하네요.</p>",#일상,2024062109420791098.jpg,1
여러분 혹시 음식 재료 대량구매 어디서 하시나요?,집에서 한가지 요리만 해먹는 사람입니다. 그러다 보니 같은 재료만 쓰기 때문에 부족할때마다 다시 사는것도 귀찮아서 그냥 한번에 사려고요! 아시는분은 댓글부탁드립니다! 사진은 어제 저녁으로 먹은 피자에요,#질문,boardThumbnail_16.jpg,1
방금 가입했습니다.,<p>반가워요</p>,#일상,2024062110204792783.jpg,25
삼성역 곰바위 다녀왔습니다.,"<p>대표메뉴가 양구이인데요,</p><p>가격대가 조금 나가기 때문에, 가족식사 자리나 거래처 회식자리로 좋을 것 같아요.</p><p>대창구이도 드셔보는걸 추천드립니다.</p>",#일상,2024062111043695776.jpg,25
이탈리안 브렉퍼스트 메뉴 질문,<p>사진은 인스타에서 퍼온건데요!&nbsp; </p><p>사진 하단에 소세지같이 생긴건 뭔지 아시는분?</p>,#질문,2024062111121385111.jpg,26
