rcp_title,rcp_content,rcp_video,rcp_main_photo,rcp_tag,cook_amount,cook_time,cook_kind,cook_level,member_no
솔티드 딸바 크레페,크레이프케이크에 환상적인 카라멜과의 조합으로 달콤한 디저트 시간을 보내요!,,recipeBoardImg(1).jpg,"크레이프,카라멜,솔티드,케이크",3인분,15분 이내,디저트,하,1
차슈 덮밥,식당에서 먹어본 차슈를 집에서도 쉽게 만들 수 있다는 사실을 아시나요? 통삼겹살과 차슈요리양념이면 충분해요. 맛이 잘 배어든 차슈는 덮밥으로 즐기기에 훌륭하지요. 훈연향과 생강향이 어우러진 쯔유 스타일의 차슈요리양념은 차슈 뿐 아니라 다양한 일식 요리의 맛을 살리는데 좋습니다.,,recipeBoardImg(2).jpg,"오늘밥상,차슈,삼겹살,집밥,양념",2인분,15분 이내,한식,중,1
참치 무조림,"선물받고 남은 처치곤란 참치캔, 어떻게 먹을지 고민일 때 이렇게 만들면 밥 도둑! 입맛없을 때, 뭐 해먹을지 모를때, 간단하게 해먹을 수 있어요! 남은재료로 만드는 든든한 한끼, 오늘 점심은 참치 무조림 어때요?",,recipeBoardImg(6).jpg,"참치,무,조림,반찬,집밥",1인분,15분 이내,한식,하,1
오이 무침,"새콤 짭짤! 아삭아삭 씹히는 오이무침에 밥 한술갈, 식감도 맛도 챙기는 건강한 밥반찬 어떠신가요? 저는 두그릇도 먹을 수 있어요!",,recipeBoardImg(7).jpg,"오이,양념,무침,반찬",2인분,10분 이내,한식,하,1
케일 장아찌,쌈으로만 먹던 케일이 밥 도둑으로 변신! 케일을 장아찌로 드셔보는건 어떠실까요? 새로운 맛에 후회하지는 않을거에요!,,recipeBoardImg(8).jpg,"케일,장아찌,반찬,집밥",1인분,15분 이내,한식,하,1
게살 계란찜,초간단 계란찜 만들기! 계란찜에 게살을 넣어 요리의 감칠맛을 더해주어 따뜻하고 맛있는 집밥을 완성해준답니다.,,recipeBoardImg(9).jpg,"게살,계란찜,집밥,초간단",4인분,10 분이내,한식,하,1
창녕갈릭 소불고기,창녕마늘이 듬뿍 들어간 창녕갈릭소이소스를 활용하면 감칠맛이 풍부한 소불고기 완성! 불고기는 반찬으로도 좋고 명절에 특별한 메뉴로도 손색 없지요. 기호에 따라 돼지고기를 양념하여 돼지불고기를 만들어도 좋습니다.,,recipeBoardImg(10).jpg,"불고기,갈릭,집밥,반찬,고기",2인분,15분 이내,한식,중,1
비어포크,"우리남편 영양간식, 술안주 비어포크! 집에서도 즐기는 캠핑장스타일 구이!",,recipeBoardImg(11).jpg,"비어,삼겹살,반찬,안주,고기",2인분,10분 이내,양식,하,1
햄마요 덮밥,그냥 구워 먹는 햄이 지겹다면? 고소한 마요네스와 직접 만든 단짠단짠 간장소스를 더해 마요덮밥를 만들어보세요. 햄 대신 참치나 동그랑땡을 사용해도 좋답니다.,,recipeBoardImg(12).jpg,"햄,마요,간장,덮밥,식사,양념",1인분,10분 이내,양식,하,1
쭈꾸미 삼겹살 볶음,소위 말하는 쭈삼 레시피! 청양고추를 넣어 칼칼한 매콤함이 일품이에요. 봄이 제출인 쭈꾸미는 피로회복에 좋기로 유명한 타우린이 풍부하게 들어있지요. 특히 돼지고기와 궁합이 좋답니다.,,recipeBoardImg(13).jpg,"쭈꾸미,삼겹살,양념,매콤,반찬",2인분,15분 이내,한식,중,1
완자 꼬치,굴림만두로 만들 수 있는 새로운 레시피를 추천해 드릴게요. 데리야끼 소스를 조금 바른 X.O.만두를 꼬치에 꽂아 에어프라이어에서 조리해보세요. 겉은 바삭하면서 속은 촉촉한 겉바속촉 만두 꼬치가 완성된답니다.,,recipeBoardImg(14).jpg,"만두,꼬치,반찬,안주,간단",1인분,10분 이내,한식,하,1
삼겹살 순두부 짜글이,"얼큰한 국물에 몽글몽글한 식감의 순두부가 가득 들어 있는 순두부찌개는 누구나 좋아하는 음식이죠. 그런데, 삼겹살과 함께 자작하게 끓여낸 순두부 짜글이도 정말 별미란 사실 알고 계셨나요? 쫄깃한 고기와 부드러운 순두부의 찰떡궁합은 집나간 입맛도 돌아오게 해줘요.간단하고 맛있게 끓여낸 순두부 짜글이로 오늘 저녁 어떠세요?",,recipeBoardImg(15).jpg,"삼겹살,순두부,찌개,집밥,얼큰",2인분,30분 이내,한식,중,1
블루베리소스 목살 스테이크,"스테이크에 곁들인 블루베리소스는 버터와 생크림의 고소함과 쨈의 달콤함이 정말 조화로워요. 스테이크 소스 외에도, 여러가지 고기 양념에 블루베리쨈을 조금씩 넣어보세요. 블루베리쨈이 양념의 감칠맛을 더해주면서 고기의 잡내를 없애는 역할도 한답니다.",,recipeBoardImg(16).jpg,"블루베리,목살,구이,스테이크,기념일",1인분,20분 이내,양식,하,1
